time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
0.0,0.03357160287410804,0.39756068899159636,0.06600374847363591,,,,,,0.0,,,0.011549781657120412,,9.977856031150891e-05,108165.18144719719,108165.16989741553,0.0,0.956,32533.011038869165,0.066
7.7610759764379464,0.03356911450697081,0.39776238776201195,39.982417825767556,,,,,,265.86203993432116,,,4240.284135699179,,0.0604418412693908,108148.20071456979,103907.9165788706,0.0,0.956,30384.616585557535,39.98014715110762
18.4697767659114,0.03297085337723816,0.3985849776687884,89.68108513600056,,,,,,1446.973021273786,,,21377.443828609583,,0.13557183900878333,108123.87257670496,86746.42874809538,0.0,0.9559999999999998,28175.134472141275,89.67599198309568
21.85904395195779,0.03269295399551219,0.3989473094142021,104.1308817022614,,,,,,2001.5281868402783,,,28847.472643656856,,0.1574157483551076,108115.95620251629,79268.48355885943,0.0,0.956,27608.455580231835,104.12496791897225
21.85904395195779,0.031869170385332615,0.2574870830125278,104.1308817022614,,,,0.0,,2001.5281868402783,,,18618.628094536223,,0.1574157483551076,108115.95620251629,90220.033222564,-1.5,0.956,27608.455580231835,104.12496791897225
22.921146852879172,0.03475366490679184,0.5873045431606807,108.53878053204443,,,,0.06172885141148391,,2192.142755965776,,,46138.80843786465,,0.16407921534608028,108113.45474874512,60998.99049675437,2.0368026600682025,0.956,27451.228902899784,108.53261641611607
24.3866320778826,0.04408626011861488,1.0204041511234505,114.5479527251756,,,,0.14690206732256417,,2468.042594629472,,,89285.31152758723,,0.1731633441108894,108109.98666755704,15544.561169335968,6.916868459329612,0.9559999999999998,27236.885921373432,114.54144733736405
24.850453140996283,0.04817716872642082,1.1521482363040505,116.40654561784672,,,,0.17385909894504006,,2558.4484829000107,,,104110.92403122803,,0.17597299852180517,108108.88506305302,1.2838355360145215e-05,8.46139259949818,0.956,27170.59120901452,116.39993467714432
24.850453140996283,0.06366691305151057,1.1020519468513594,116.17467674540953,,136.2234352912825,,0.1738590989450401,,2558.4484829000107,0.0,,99187.77539952463,0.9543552969299539,0.17605546176869585,108108.88506305302,4934.597957936801,8.461392599498181,0.956,27092.78039184964,116.39993467714432
28.37051830098324,0.05033532271579545,0.885586748172686,130.1341111843475,,125.62221908969235,,0.12875377604785407,,3290.827021003051,-0.02682907928158158,,100010.71863078288,0.9507042841352662,0.1971723083210703,108100.48934622473,5365.876261370316,4.339854952858124,0.956,26602.074401778496,130.3661967511587
