time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
0.0,0.03358902212338899,0.39206113135353277,0.06600374847363591,,,,,,0.0,,,0.011356874518814432,,9.977856031150891e-05,107849.58791667005,107849.57655979553,0.0,0.956,32614.247696374176,0.066
7.748677195185424,0.03358653997303278,0.39226300438888817,40.14442334690291,,,,,,266.52502003922046,,,4203.3507888771355,,0.0606867467184784,107832.59077747735,103629.23998860021,0.0,0.956,30452.769198023176,40.14214347165302
18.440270197157446,0.03298033350463543,0.39308591517988717,90.02385115977962,,,,,,1450.3778298944783,,,21182.17226565286,,0.13609000200963223,107808.23545278274,86626.06318712988,0.0,0.9559999999999998,28231.386842499796,90.01873854056512
21.82412282695239,0.03270246522371532,0.3934482457845776,104.52054608689062,,,,,,2006.14081020329,,,28579.77404098936,,0.15800480810098708,107800.30943143861,79220.53539044925,0.0,0.956,27663.461597501057,104.51461017384813
21.82412282695239,0.03187030748582851,0.2529085995715529,104.52054608689062,,,,0.0,,2006.14081020329,,,18371.083633539904,,0.15800480810098708,107800.30943143861,90153.37080215332,-1.5,0.956,27663.461597501057,104.51461017384813
22.887899374526015,0.03480760366882496,0.581064168845686,108.95628720003398,,,,0.06182612285799065,,2197.78078485756,,,45866.597520590934,,0.16471036456435675,107797.79684462679,60950.96411490122,2.0423759034201714,0.956,27504.84672210835,108.95009937313809
24.35569389031342,0.04436182452280954,1.0118161736310405,114.9988231648393,,,,0.14713355351186713,,2475.1921712739395,,,88972.59276205712,,0.1738449296934814,107794.31323597537,15529.086578614555,6.930131640992238,0.9559999999999998,27288.775480648008,114.99229217127056
24.820245836064604,0.04855323645843143,1.1428035556725018,116.86588640528886,,,,0.1741330636415481,,2566.0977153938543,,,103780.30319454386,,0.17666738881816293,107793.20667975518,0.0,8.477089620343671,0.956,27222.01234103269,116.85924937778273
24.820245836064604,0.06198475339477803,1.10262197237988,116.7649812022764,,59.031696167777994,,0.17413306364154812,,2566.0977153938543,0.0,,99958.49469996574,0.9644988004718419,0.17670325068207088,107793.2066797552,3826.788138117979,8.477089620343673,0.956,27188.230070244408,116.85924937778273
28.07869320039512,0.039915518633068706,0.9257105182431791,129.71567925952695,,54.42923213793409,,0.13703933600589832,,3244.11414783035,-0.011622874925931939,,103568.57099155714,0.9883785457197778,0.19628552390326573,107785.40289530337,1259.8188724921142,5.685833901348825,0.956,26728.2580798096,129.81165854938843
