time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
0.0,0.03667215649531464,0.3755578581673418,0.06600374847363591,,,,,,0.0,,,0.010605381256633014,,9.977856031150891e-05,133853.38288763928,133853.37228225803,0.0,0.956,32714.63051405837,0.066
11.267606581519443,0.03666982307588339,0.3758176370586256,46.023971504157004,,,,,,445.4708819718535,,,5160.09352059662,,0.06957492146581608,133828.5267950362,128668.43327443957,0.0,0.956,30265.482772484058,46.02135771861008
26.814603912986463,0.03580315205985588,0.37684774314995123,101.93989075985507,,,,,,2405.6823930706146,,,25384.375143050136,,0.15410360431867942,133792.72030291345,108408.34515986333,0.0,0.9559999999999998,27841.17053508849,101.93410140695016
31.735175412088257,0.035530864421114555,0.3772899931576546,117.82681280003548,,,,,,3318.8099509266376,,,33952.81428503482,,0.1781200313490859,133781.02819974895,99828.21391471413,0.0,0.956,27271.331570705537,117.82012119976129
31.735175412088257,0.03466924360684556,0.23889973834278885,117.82681280003548,,,,0.0,,3318.8099509266376,,,21498.89632855097,,0.1781200313490859,133781.02819974895,112996.01210801121,-1.5,0.956,27271.331570705537,117.82012119976129
32.92759937179759,0.0384218671516105,0.6001907159736828,121.56042846086643,,,,0.06930304150808511,,3559.699000384953,,,57489.15807849871,,0.18376417738638284,133778.16935159892,75119.1245062112,2.4707717858332368,0.956,27137.41263560968,121.55352482172785
34.57290105902409,0.050942511883510025,1.0713686549591084,126.62242817410687,,,,0.16492709383842502,,3904.299966657494,,,111345.44159074014,,0.19141645555791953,133774.20891000837,18700.708538982373,7.949626404299838,0.9559999999999998,26955.846649007337,126.61523705474316
35.093633417625895,0.05643563674991506,1.213860768032586,128.1655984385033,,,,0.1951917794554257,,4016.2769959175816,,,129248.0637097295,,0.1937492822663679,133772.9516761884,0.0,9.683665158444263,0.956,26900.49555311185,128.1583196796769
35.093633417625895,0.07588084722167775,1.1614840927087777,127.74605705452034,,223.9421668307183,,0.19519177945542254,,4016.2769959175816,0.0,,122862.82750565084,0.9521090961259,0.19389860756052169,133772.9516761884,6406.507569678957,9.683665158444082,0.956,26774.03679053271,128.1583196796769
38.31877412661796,0.0635569053595839,1.0002867756402443,137.0627935608351,,214.0650996190514,,0.1607220768369795,,4738.5390384214,-0.026544962267474687,,121808.02919110152,0.9374840324427176,0.2080027830904201,133765.16366114124,8406.637606366941,6.187782372075933,0.956,26469.262227231327,137.48522478873053
42.7688100444982,0.05325761469709511,0.8396998055329505,152.34602915601735,,167.14821135980444,,0.1262734160031489,,5825.583552226485,-0.0581974631478361,,126327.69194291753,0.9655469698544258,0.2310000530535081,133754.28766237808,4826.884044408556,2.400464784940989,0.9559999999999997,26016.25783837151,152.71056954973082
44.177231197512874,0.051194537200731374,0.8041457166299891,157.62282329603352,,144.012564121063,,0.11853827008264134,,6194.2173570706045,-0.06225643311864334,,129504.59805242067,0.9880012528240736,0.23890118834824295,133750.80815067087,1860.8492889975628,1.7247117212804755,0.9559999999999997,25863.99478842854,157.94646269773577
44.177231197512874,0.051194537200731444,0.8041457166299906,157.62282329603352,,144.012564121063,,0.11853827008264164,,6194.2173570706045,-0.06225643311864334,,129504.59805242089,0.9880012528240754,0.23890118834824295,133750.80815067087,1860.8492889973359,1.7247117212804932,0.956,25863.994788428543,157.94646269773577
47.40237190650494,0.0473316118172913,0.7366667936319461,169.32004539938114,,89.6747984287825,,0.1034929183252962,,7084.4815681144555,-0.056853037181732895,,136898.9374145558,1.0400006899850947,0.25637806783928907,133742.77794638014,0.0,1.1722683465179697,0.956,25492.162850874338,169.532767644932
51.85240782438518,0.04263505127341132,0.6642107426649922,183.31494551907176,,33.37948834537295,,0.08576574338771463,,8410.053182304417,-0.023976891793540008,,144681.7904308535,1.0933135899102642,0.27728632511877305,133731.60443905165,0.0,2.0402404173063937,0.9559999999999998,24966.42744586396,183.39408102811433
53.260828977399854,0.04114326721041294,0.6437769835677105,186.8772749002173,,26.210048595545423,,0.08088771067615297,,8850.66548914629,-0.009615170119880327,,145733.92491450603,1.0999810695388803,0.28263816391204394,133728.05773980942,0.0,2.5836157690494153,0.956,24828.004928498904,186.93833562709915
53.260828977399854,0.04114326721041361,0.6437769835677316,186.8772749002173,,26.210048595545423,,0.0808877106761572,,8850.66548914629,-0.009615170119880327,,145733.9249145108,1.0999810695389167,0.28263816391204394,133728.05773980942,0.0,2.5836157690496577,0.956,24828.004928498904,186.93833562709915
56.485969686391925,0.026299848915064653,0.596034117924944,194.258556898635,,33.17609433276146,,0.07165560490489017,,9888.962680954919,0.02248187624290398,,145795.34816622265,1.0989201247905185,0.29383879870120977,133719.9146076179,0.0,3.893680363760958,0.956,24527.5542417442,194.34183824997277
60.93600560427217,0.024091367740048546,0.5498458706211125,201.98662899292296,,98.29744498836055,,0.06395693831960643,,11378.522750128579,0.06428959656462042,,145411.39509214397,1.096625693086681,0.3058882662446937,133708.65225340598,0.0,5.847985186043482,0.9559999999999998,24201.274044508995,202.2659219361443
62.34442675728684,0.023968596127812068,0.5431097258089366,203.4722650218622,,132.4635678710666,,0.06273784888333789,,11860.499639721911,0.07697344005741352,,145750.56607928267,1.0999432076127391,0.30832853529557436,133705.08471924465,0.0,6.5048672066378295,0.956,24130.560817043308,203.85556520616248
62.34442675728684,0.02396859612781188,0.5431097258089306,203.4722650218622,,132.4635678710666,,0.06273784888333664,,11860.499639721911,0.07697344005741352,,145750.56607928107,1.099943207612727,0.30832853529557436,133705.08471924465,0.0,6.5048672066377575,0.956,24130.560817043308,203.85556520616248
65.5695674662789,0.023640531498517126,0.5308879641327822,205.54861367482923,,235.9696881920512,,0.060278934401146574,,12972.564754008057,0.10754086613634319,,145393.2399296702,1.099957865514055,0.3120586776723989,133696.92019480476,0.0,8.115366289525468,0.956,23998.77008317309,206.24830765704309
70.01960338415915,0.02291364871457752,0.5057651346714982,205.52139689176585,,429.26188332845237,,0.05577765528904961,,14513.659472255405,0.14030548530450293,,138476.22148186617,1.0514540150224685,0.3131114336055557,133685.68219885626,0.0,9.734736389680908,0.956,23885.234516817643,206.80633070098708
71.42802453717383,0.017545526194027942,0.3002032917954654,204.990835909434,,499.99999999999915,,0.05408522768393478,,14999.598866299268,0.14524937946558408,,81770.48502580315,0.6232213391966613,0.31270379697594963,133682.13630325417,51245.88126855481,9.921031700565717,0.956,23861.298317294164,206.48671500196386
71.42802453717383,0.020961594136340432,0.49078609916308025,204.990835909434,,,,0.10130213642808358,,14999.598866299268,,,,,0.31270379697594963,133682.1363032542,,,0.956,23861.298317294164,206.48671500196386
77.98836710815131,0.018288774766507948,0.4200925828459812,221.554796859442,,,,0.08610597900861952,,17378.91124598952,,,,,0.3379713337370429,133665.57140479053,,,0.956,23302.29454326872,223.1715481010349
87.04030087124359,0.015948040141168553,0.3481178027925309,243.3621760292783,,,,0.07062669988516442,,20957.872788529166,,,,,0.3712374562846616,133642.510273795,,,0.9559999999999998,22630.848131517432,245.13806220204162
89.90520695804653,0.015413762934007839,0.32985911783363275,250.00000000000003,,,,0.06669799901325792,,22159.459275630237,,,,,0.38136314190418713,133635.16106760217,,,0.956,22437.59246682297,251.82432434832205
89.90520695804653,0.015451481030906971,0.32856167893148946,250.0,-140.46208205592313,8741.451970550392,,0.06487313920780279,,22159.459275630237,0.0887230908859274,-2.1691820744391803,,,0.44475467845838407,133635.16106760217,,7.300415733491026,0.956,18100.802760637824,285.21571185164277
100.55691887106613,0.01545474868301315,0.328552804790846,250.0,-141.4666120289552,9193.175910479185,,0.06476618369676576,,27285.33071434935,0.08707675968616445,-2.148560315750311,,,0.4486368932569609,133612.16500982468,,7.199959804685812,0.956,17880.968361457315,287.22999370897026
115.25410726588312,0.015459093451273966,0.3285400983718788,250.0,-142.8500439413945,9807.68339796243,,0.06461664799067289,,34418.36939723422,0.08480057096820713,-2.119396698524542,,,0.45399374397916475,133580.80051759916,,7.060976032925933,0.9559999999999998,17577.067936426032,290.0038025019159
119.90571714209335,0.01546042689600198,0.3285358822188621,250.0,-143.28698584009172,10000.0,,0.06456886154738128,,36690.51582042577,0.08408215347727038,-2.1100875807282375,,,0.45568801437450535,133570.96374545165,,7.017075781248329,0.956,17481.1571827826,290.87981732908725
119.90571714209335,0.014190267917034627,0.2818241653047563,270.0,-166.5573712264187,10000.0,2452.264294453395,0.0544750777540855,,36690.51582042577,0.07715892626241609,-2.1316957541885455,,,0.4921430555244658,133570.96374545165,,6.042072870553668,0.956,17001.456322901555,314.15020271541425
380.45854690841486,0.014216528961285306,0.28130646783633595,270.0,-193.3046615347558,19071.04304518393,1744.4745840579665,0.05143526181046315,,185847.4355726715,0.047341989927744986,-1.6799781379820813,,,0.590323663753119,133078.0238229585,,4.159519636500601,0.956,13015.722216666278,364.00354116640574
739.968272401238,0.014192079026063353,0.2804253455941427,270.0,-222.40037043147103,27049.857762620246,954.904786841975,0.046953655210164605,,423850.5352866078,0.02255743099445392,-1.3312810846870116,,,0.7003978391833022,132546.27438432636,,2.482691868894681,0.9559999999999998,9695.993161406368,418.0541077941789
853.7518713299819,0.014178392713268479,0.28013470204808116,270.0,-229.0825761376791,28663.192459206024,801.5761281773805,0.04569725008745273,,505443.60829685384,0.018391608820422987,-1.2712641630075707,,,0.7260354459304811,132397.60366681239,,2.1720211292306884,0.956,9134.743595501908,430.40248310126555
853.7518713299819,0.014178392713268479,0.28013470204808116,270.0,-229.0825761376791,28663.192459206024,801.5761281773812,0.04569725008745273,,505443.60829685384,0.018391608820423,-1.2712641630075707,,,0.7260354459304811,132397.60366681239,,2.1720211292306892,0.9560000000000001,9134.74359550191,430.40248310126555
1114.3047010963035,0.014143223175587858,0.2794890938105288,270.0,-241.77609865219665,31538.311418154855,539.7205175625679,0.043010888264221364,,700346.3913828983,0.011745377142445017,-1.1755933762782673,,,0.7750248880354974,132079.24623956252,,1.6373029097001737,0.956,8234.541764692192,453.7714604725339
1473.8144265891267,0.014536770893406699,0.29457331785963653,262.59973019846734,-241.0004130434274,34097.72163651951,347.2003696690183,0.04376544799957002,,979855.64023527,0.007403120583325262,-1.0746198132365017,,,0.8000000000000002,131675.8375606247,,1.4317430235255992,0.9559999999999998,7472.638928283336,463.1210842447708
1587.5980255178704,0.014776217341390159,0.303251548735203,258.69699227727335,-237.0751632899441,34733.939810147385,306.14814199384784,0.04505479309325513,,1068588.6752478748,0.0065464413520369205,-1.0422778256467076,,,0.8000000000000002,131554.98925344695,,1.456532951380322,0.956,7271.21427624881,461.8007982503242
1587.5980255178704,0.014776217341390159,0.303251548735203,258.69699227727335,-237.0751632899441,34733.939810147385,306.14814199384784,0.04505479309325513,,1068588.6752478748,0.0065464413520369205,-1.0422778256467076,,,0.8000000000000002,131554.98925344695,,1.456532951380322,0.956,7271.21427624881,461.8007982503242
1848.150855284192,0.015260082867606004,0.32017659704142765,251.51376079582647,-229.64927861498052,35924.85047742661,244.26590428131735,0.0475693871743431,,1271056.8375838841,0.005251404149911044,-0.9945490032387067,,,0.8,131289.896502224,,1.526408413420997,0.956,6946.834513129284,459.3192364872417
