time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
0.0,0.033763076312734466,0.399041336428505,0.06600374847363591,,,,,,0.0,,,0.011671145817187594,,9.977856031150891e-05,108897.88170943994,108897.87003829413,0.0,0.956,32431.589127301842,0.066
7.84199907687954,0.03376051675576658,0.39924287683384485,39.97103775964389,,,,,,268.57164991199113,,,4282.392124526781,,0.06042463790381948,108880.77747886404,104598.38535433725,0.0,0.956,30290.431521270544,39.96876773127873
18.66235722832399,0.033152521124164586,0.40006433005882264,89.63490334135948,,,,,,1461.5059427722579,,,21579.558132120303,,0.1355020255044226,108856.27288763045,87276.71475551014,0.0,0.9559999999999998,28089.1876924155,89.62981281120321
22.086963587669608,0.03286983345138007,0.4004258935572316,104.06618921883728,,,,,,2021.5323219036775,,,29113.865005238324,,0.1573179520479537,108848.29928305076,79734.43427781243,0.0,0.956,27524.686350105967,104.06027910955261
22.086963587669608,0.03204742361612291,0.2589163410015482,104.06618921883728,,,,0.0,,2021.5323219036775,,,18825.094782467997,,0.1573179520479537,108848.29928305076,90743.71679235992,-1.5,0.956,27524.686350105967,104.06027910955261
23.15181389841645,0.034931626986227884,0.5896734095384426,108.43379173966777,,,,0.06188852939817899,,2212.487354958142,,,46547.808721541434,,0.16392050268514147,108845.79937282468,61320.87625393696,2.0459515347869766,0.956,27369.382688463676,108.42763358624501
24.621089988224732,0.044243801348381864,1.0238912966963294,114.38888249753465,,,,0.14728206834016044,,2488.7731214795012,,,89945.59384496213,,0.17292287597582917,108842.33358065822,15615.925788255063,6.938640913848555,0.9559999999999998,27157.630956089222,114.38238614361237
25.086110847087912,0.04832307714516454,1.15594620059079,116.2307974168488,,,,0.17430883144861625,,2579.281442361217,,,104842.76454481149,,0.17570731811912446,108841.23273827744,0.00012390778965709615,8.487160373862947,0.956,27092.13595510442,116.22419645720828
25.086110847087912,0.06393125624157284,1.1059848725101165,115.99811459195655,,136.90869295748018,,0.1743088314486162,,2579.281442361217,0.0,,99910.1141266561,0.9545745760141818,0.17579007135104457,108841.23273827744,4944.15914427537,8.487160373862944,0.956,27014.157936933003,116.22419645720828
28.615392746542938,0.05060475388405168,0.8895568132757207,129.83646691198504,,126.25506916042627,,0.12923033516817434,,3312.158905445164,-0.026969231377415866,,100675.88963249812,0.9504716036610121,0.1967235847921034,108832.84320420465,5427.932827719273,4.359129655559725,0.956,26529.31883106661,130.0692269518348
33.48508143116712,0.041045509897699034,0.6927737391270444,150.86175722691533,,79.80991391892226,,0.08778140677732474,,4464.945928215723,-0.05075296599476885,,105854.21314352276,0.9886563938910591,0.22838848543252907,108821.07269322722,1372.9579085855669,0.621573378790548,0.9559999999999997,25890.781719781524,151.02947839268234
