Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Avco Lycoming,ALF502R-3,BAe 146-100 ,6700,29803,2250,10008,0.411,1.1548E-05,0.720,2.0233E-05,11.60,25000,7.620,238.630,0.70,4.4859E-08,1.0509E-05,5.71,1980,1336,606,2,NA,NA,63.80,1.6205,50.00,1.2700,2.0528,,,,,
Avco Lycoming,ALF502R-3A,BAe 146-100,6970,31004,2250,10008,0.408,1.1464E-05,0.720,2.0233E-05,11.60,25000,7.620,238.630,0.70,4.5213E-08,1.0432E-05,5.71,1980,1336,606,2,NA,NA,63.80,1.6205,50.00,1.2700,2.0528,,,,,
Avco Lycoming,ALF502R-4,NA,6970,31004,2250,10008,0.408,1.1464E-05,0.720,2.0233E-05,NA,25000,7.620,238.630,0.70,4.5213E-08,1.0432E-05,5.60,1980,1336,606,2,NA,NA,63.80,1.6205,50.00,1.2700,2.0528,,,,,
Avco Lycoming,ALF502R-5 ,BAe 146-100/-200/-200ER/-300,6970,31004,2250,10008,0.408,1.1464E-05,0.720,2.0233E-05,12.20,25000,7.620,238.630,0.70,4.5213E-08,1.0432E-05,5.60,1982,1336,606,2,NA,NA,63.80,1.6205,50.00,1.2700,2.0528,,,,,
Avco Lycoming,ALF502R-6,BAe 146-200/-200ER/-300,7500,33362,2250,10008,0.415,1.1660E-05,0.720,2.0233E-05,13.80,25000,7.620,238.630,0.70,4.4387E-08,1.0611E-05,5.60,1980,1375,624,2,NA,NA,65.60,1.6662,50.00,1.2700,2.1107,,,,,
AlliedSignal (Honeywell),AS905,Falcon 7X (candidate engine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
AlliedSignal (Honeywell),AS907,Challenger 300 ,6500,28913,NA,NA,0.420,1.1801E-05,NA,NA,21.00,NA,NA,NA,0.82,NA,NA,4.50,2001,1364,619,2,34.20,0.8687,92.40,2.3470,46.30,1.1760,2.5493,,,,,
AlliedSignal (Honeywell),AS977-1A,"RJX-70/-85/-100/-115, SL-100 (not produced)",7100,31582,NA,NA,0.416,1.1688E-05,NA,NA,23.00,NA,NA,NA,NA,NA,NA,4.50,2001,1364,619,2,34.20,0.8687,92.40,2.3470,49.90,1.2675,2.9612,,,,,
Turbomeca,Astafan 2,NA,1685,7495,NA,NA,0.380,1.0677E-05,NA,NA,8.50,NA,NA,NA,NA,NA,NA,1.00,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Turbomeca,Astafan 3,NA,1900,8452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
