Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
GE,CF6-50B,NA,49000,217963,11250,50042,0.389,1.0930E-05,0.654,1.8378E-05,28.60,35000,10.668,218.818,0.80,3.7321E-08,9.5244E-06,4.40,1970,8200,3719,2,86.40,2.1946,183.00,4.6482,92.00,2.3368,19.9351,,,,,
GE,CF6-50C,"A300B1, A300B2-1C/-101, A300B4-2C/-203, DC-10-30/-30CF/-30F",50357,223999,11100,49375,0.394,1.1070E-05,0.657,1.8462E-05,29.30,35000,10.668,218.818,0.80,3.7161E-08,9.6469E-06,4.26,1972,8720,3955,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50C1,"DC-10-30, A300B2-202, A300B4-102",51818,230498,11555,51399,0.371,1.0424E-05,0.657,1.8462E-05,30.10,35000,10.668,218.818,0.80,3.9534E-08,9.0837E-06,4.24,1970,8720,3955,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50C2,"A300B2-203, A300B4-103/-103F/-2C/-203/-203F, A300C4-203, A300F4-203, DC-10-30/-30F/-30F(CF), A300B1 (option)",51818,230498,11555,51399,0.371,1.0424E-05,0.630,1.7704E-05,30.40,35000,10.668,218.818,0.80,3.6336E-08,9.0837E-06,4.31,1972,8730,3960,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50C2B,DC-10-30/-30ER,54000,240204,11555,51399,0.385,1.0817E-05,0.630,1.7704E-05,31.10,35000,10.668,218.818,0.80,3.4891E-08,9.4265E-06,4.25,1970,8730,3960,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50C2F,DC-10-15,46500,206842,11555,51399,0.370,1.0396E-05,0.630,1.7704E-05,26.30,35000,10.668,218.818,0.80,3.6439E-08,9.0592E-06,4.64,1970,8730,3960,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50C2R,"A300B2-1C/-101, A300B2K-3C, A300B4-2C, DC-10-30",50357,223999,11555,51399,0.368,1.0340E-05,0.630,1.7704E-05,29.20,35000,10.668,218.818,0.80,3.6646E-08,9.0103E-06,4.31,NA,8730,3960,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50D,DC-10-10,51000,226859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8330,3778,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50D1,(see military turbofan specifications),51000,226859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CF6-50E,747-200B,52500,233532,11555,51399,0.376,1.0565E-05,0.657,1.8462E-05,30.10,35000,10.668,218.818,0.80,3.9018E-08,9.2061E-06,4.24,1971,8490,3851,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50E1,747-200B,52500,233532,11555,51399,0.371,1.0424E-05,0.657,1.8462E-05,30.10,35000,10.668,218.818,0.80,3.9534E-08,9.0837E-06,4.24,1971,8490,3851,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50E2,747-200B/-200B(M)/-200B(SF)/-200C(M)/-200F/-300/-300(M)/-300(SF),52500,233532,11555,51399,0.371,1.0424E-05,0.630,1.7704E-05,30.40,35000,10.668,218.818,0.80,3.6336E-08,9.0837E-06,4.31,1971,8770,3978,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-50E2B,747-200/-300 (option),54000,240204,11730,52178,0.375,1.0537E-05,0.630,1.7704E-05,30.90,35000,10.668,218.818,0.80,3.5923E-08,9.1817E-06,4.24,1971,8770,3978,2,86.40,2.1946,183.00,4.6482,105.00,2.6670,25.9669,,,,,
GE,CF6-6,DC-10-10 (option),40000,177929,9080,40390,0.350,9.8341E-06,0.646,1.8153E-05,26.60,35000,10.668,218.818,0.80,4.0399E-08,8.5695E-06,6.20,1970,7350,3334,2,NA,NA,172.50,4.3815,92.00,2.3368,18.7913,,,,,
GE,CF6-6D,DC-10-10/-10F/-10F(CF),40000,177929,9080,40390,0.354,9.9465E-06,0.646,1.8153E-05,24.30,35000,10.668,218.818,0.80,3.9986E-08,8.6675E-06,5.72,NA,7900,3583,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-6D1,DC-10-10/-10F/-10F(AF),41500,184601,9220,41013,0.350,9.8341E-06,0.646,1.8153E-05,25.20,35000,10.668,218.818,0.80,4.0399E-08,8.5695E-06,5.76,1970,7900,3583,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-6D1A,DC-10-10/-10F/-10F(AF),41500,184601,9220,41013,0.350,9.8341E-06,0.646,1.8153E-05,25.20,35000,10.668,218.818,0.80,4.0399E-08,8.5695E-06,5.76,1970,7900,3583,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-6E,DC-10-10/-10F (option),40600,180598,NA,NA,0.320,8.9911E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,86.40,2.1946,NA,NA,NA,NA,NA,,,,,
GE,CF6-6F,DC-10-10/-10F (option),42000,186825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,86.40,2.1946,NA,NA,NA,NA,NA,,,,,
GE,CF6-6K,DC-10-10/-10F,41500,184601,NA,NA,0.346,9.7217E-06,NA,NA,25.00,NA,NA,NA,NA,NA,NA,NA,NA,8180,3710,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-6K2,DC-10-10/-10F (option),41500,184601,NA,NA,0.346,9.7217E-06,NA,NA,25.00,NA,NA,NA,NA,NA,NA,NA,NA,8180,3710,2,86.40,2.1946,188.00,4.7752,105.00,2.6670,26.6764,,,,,
GE,CF6-80A,767-200/-200ER/-200PC,48000,213515,11045,49131,0.344,9.6655E-06,0.623,1.7507E-05,27.30,35000,10.668,218.818,0.80,3.8294E-08,8.4226E-06,4.66,1981,8500,3856,2,86.40,2.1946,157.40,3.9980,98.00,2.4892,19.4557,,,,,
GE,CF6-80A1,767-200/-200ER (option),48000,213515,11045,49131,0.344,9.6655E-06,0.623,1.7507E-05,27.30,35000,10.668,218.818,0.80,3.8294E-08,8.4226E-06,4.66,1981,8420,3819,2,86.40,2.1946,157.40,3.9980,98.00,2.4892,19.4557,,,,,
GE,CF6-80A2,767-200/-200ER/-300,50000,222411,11045,49131,0.349,9.8060E-06,0.623,1.7507E-05,28.40,35000,10.668,218.818,0.80,3.7777E-08,8.5451E-06,4.59,1981,8500,3856,2,86.40,2.1946,157.40,3.9980,98.00,2.4892,19.4557,,,,,
GE,CF6-80A3,A310-203/-203F,48986,217901,11045,49131,0.357,1.0031E-05,0.623,1.7507E-05,28.40,35000,10.668,218.818,0.80,3.6952E-08,8.7409E-06,4.59,1982,8420,3819,2,86.40,2.1946,157.40,3.9980,98.00,2.4892,19.4557,,,,,
GE,CF6-80C2,767-200ER/-300 (option),52500,233532,11330,50398,0.329,9.2440E-06,0.564,1.5849E-05,30.40,35000,10.668,218.818,0.85,3.0920E-08,8.0554E-06,5.20,NA,9140,4146,2,93.00,2.3622,160.90,4.0869,NA,NA,NA,,,,,
GE,CF6-80C2A1,A300B4-601,57866,257401,11810,52533,0.334,9.3845E-06,0.576,1.6186E-05,30.40,35000,10.668,218.818,0.80,3.3758E-08,8.1778E-06,5.15,1972,9360,4246,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2A2,A310-204/-304/-304ET/-304F,52460,233354,11330,50398,0.317,8.9069E-06,0.578,1.6242E-05,27.80,35000,10.668,218.818,0.80,3.5750E-08,7.7616E-06,5.05,1982,9360,4246,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2A3,"A300B4-603, MD-11 (option)",58950,262223,11340,50443,0.329,9.2440E-06,0.576,1.6186E-05,31.10,35000,10.668,218.818,0.80,3.4274E-08,8.0554E-06,5.05,1972,9360,4246,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2A5,"A300B4-605R, A300C4-605R, A300F4-605R",60100,267338,11340,50443,0.340,9.5531E-06,0.585,1.6439E-05,31.50,35000,10.668,218.818,0.80,3.4205E-08,8.3247E-06,5.05,1987,9390,4259,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2A5F,"A300B4-605R, A300C4-605R, A300F4-605R",60100,267338,11340,50443,0.340,9.5531E-06,0.585,1.6439E-05,31.50,35000,10.668,218.818,0.80,3.4205E-08,8.3247E-06,5.05,1987,9390,4259,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2A6,NA,64000,284686,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,5.05,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CF6-80C2A6F,NA,63000,280238,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,5.05,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CF6-80C2A7,"A310-308, A310-308ET (option)",59000,262445,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,5.05,NA,9390,4259,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2A8,"A300B4-608ST, A310-308/-308ET",57866,257401,NA,NA,0.344,9.6655E-06,0.564,1.5849E-05,30.40,NA,NA,NA,NA,NA,NA,5.05,NA,9390,4259,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B1,747-300/-300(M),56700,252214,12820,57026,0.323,9.0754E-06,0.576,1.6186E-05,29.30,35000,10.668,218.818,0.80,3.4894E-08,7.9085E-06,5.19,1980,9390,4259,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B10F,747-XQLRF,NA,NA,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B1F,747-400/-400D/-400ER/-400(M)/-400F,57160,254260,12820,57026,0.320,8.9911E-06,0.560,1.5737E-05,30.40,35000,10.668,218.818,0.80,3.3308E-08,7.8350E-06,5.15,1989,9500,4309,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B1F2,747-400/-400D/-400ER/-400(M)/-400F,57900,257552,12820,57026,0.320,8.9911E-06,0.564,1.5849E-05,NA,35000,10.668,218.818,0.80,3.3782E-08,7.8350E-06,5.19,1986,9500,4309,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B2,"767-200ER/-300/-300ER, 737-200 (option)",51590,229484,12000,53379,0.318,8.9350E-06,0.576,1.6186E-05,27.10,35000,10.668,218.818,0.80,3.5410E-08,7.7860E-06,5.31,1981,9390,4259,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B2F,"767-200/-200ER/-300, 767-300ER (option)",52010,231352,12000,53379,0.318,8.9350E-06,0.576,1.6186E-05,NA,35000,10.668,218.818,0.80,3.5410E-08,7.7860E-06,5.31,1986,9500,4309,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B2F2,"767-200/-200ER/-300, 767-300ER (option)",NA,NA,12000,53379,0.318,8.9350E-06,0.576,1.6186E-05,NA,35000,10.668,218.818,0.80,3.5410E-08,7.7860E-06,5.31,1986,9500,4309,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B3,747-300/-400 (option),52010,231352,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,9390,4259,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B3F,747-300/-400 (option),52010,231352,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,4309,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B4,767-200ER/-300/-300ER,57180,254349,NA,NA,0.330,9.2721E-06,0.564,1.5849E-05,29.90,NA,NA,NA,NA,NA,NA,5.15,NA,9400,4264,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B4F,767-200ER/-300/-300ER,57280,254794,NA,NA,0.317,8.9069E-06,0.564,1.5849E-05,29.90,NA,NA,NA,NA,NA,NA,5.14,NA,9760,4427,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B5F,747-400/-400ER/-400F/-400FER,62100,276234,NA,NA,0.323,9.0754E-06,0.564,1.5849E-05,31.40,NA,NA,NA,NA,NA,NA,NA,NA,9760,4427,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B6,"767-300/-300ER, 767-200ER (option), An-218-200/-300 (proposed)",60070,267205,NA,NA,0.334,9.3845E-06,0.564,1.5849E-05,31.10,NA,NA,NA,NA,NA,NA,5.06,NA,9670,4386,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B6F,"767-300ER, 767-200ER (option)",60030,267027,NA,NA,0.323,9.0754E-06,0.564,1.5849E-05,31.40,NA,NA,NA,NA,NA,NA,5.06,NA,9760,4427,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B6FA,767-200ER,60030,267027,NA,NA,0.323,9.0754E-06,0.564,1.5849E-05,31.40,NA,NA,NA,NA,NA,NA,5.06,NA,9760,4427,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B7F,"767-300ER/-300F, 767-200ER (option)",62100,276234,NA,NA,0.323,9.0754E-06,0.564,1.5849E-05,31.40,NA,NA,NA,NA,NA,NA,NA,NA,9760,4427,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B8F,767-400ER/-400FER,63500,282462,NA,NA,NA,NA,0.564,1.5849E-05,31.40,NA,NA,NA,NA,NA,NA,NA,NA,9970,4522,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2B9F,747-400XQLR/-XQLRF,63300,281572,NA,NA,NA,NA,0.564,1.5849E-05,31.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2D1F,MD-11/-11F/-11F(AF)/-11F(C),60690,269962,NA,NA,0.322,9.0473E-06,0.564,1.5849E-05,31.80,NA,NA,NA,NA,NA,NA,5.03,NA,9850,4468,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2G2,"767-400ERX, 747-400X (not produced)",NA,NA,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,93.00,2.3622,160.90,4.0869,106.00,2.6924,23.2680,,,,,
GE,CF6-80C2L1F,(see military turbofan specifications),NA,NA,NA,NA,NA,NA,0.564,1.5849E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CF6-80E1,A330-200/-300 (option),65500,291358,NA,NA,0.329,9.2440E-06,NA,NA,32.40,NA,NA,NA,NA,NA,NA,5.30,NA,11160,5062,2,NA,NA,164.30,4.1732,114.00,2.8956,27.4814,,,,,
GE,CF6-80E1A1,A330-200/-300 (option),65500,291358,NA,NA,0.329,9.2440E-06,0.570,1.6018E-05,32.40,39000,11.887,216.650,0.82,3.3074E-08,8.0154E-06,5.30,NA,11160,5062,2,NA,NA,164.30,4.1732,114.00,2.8956,27.4814,,,,,
GE,CF6-80E1A2,A330-201,64533,287057,NA,NA,0.332,9.3283E-06,0.570,1.6018E-05,32.40,39000,11.887,216.650,0.82,3.2772E-08,8.0885E-06,5.30,NA,11160,5062,2,NA,NA,164.30,4.1732,114.00,2.8956,27.4814,,,,,
GE,CF6-80E1A3,A330-203,68531,304841,NA,NA,0.335,9.4126E-06,0.570,1.6018E-05,33.70,39000,11.887,216.650,0.82,3.2470E-08,8.1615E-06,5.00,NA,10730,4867,2,NA,NA,171.00,4.3434,114.00,2.8956,28.6020,,,,,
GE,CF6-80E1A4,A330-202,66870,297452,NA,NA,0.338,9.4969E-06,0.570,1.6018E-05,33.70,39000,11.887,216.650,0.82,3.2167E-08,8.2346E-06,5.00,NA,10730,4867,2,NA,NA,171.00,4.3434,114.00,2.8956,28.6020,,,,,
GE,CF700-2B,Falcon 20,4301,19132,944,4199,0.670,1.8825E-05,0.930,2.6134E-05,6.80,36090,11.000,216.658,0.80,4.1561E-08,1.6323E-05,1.90,1962,736,334,2,NA,NA,53.60,1.3614,33.20,0.8433,0.7604,,,,,
GE,CF700-2C,Falcon 20C,4125,18349,944,4199,0.652,1.8319E-05,0.930,2.6134E-05,6.90,36090,11.000,216.658,0.80,4.3418E-08,1.5885E-05,1.90,1962,725,329,2,NA,NA,53.60,1.3614,33.20,0.8433,0.7604,,,,,
GE,CF700-2D,"Mystere 20, Falcon 20D",4250,18905,944,4199,0.652,1.8319E-05,0.930,2.6134E-05,6.20,36090,11.000,216.658,0.80,4.3418E-08,1.5885E-05,1.90,1962,737,334,2,NA,NA,53.60,1.3614,33.20,0.8433,0.7604,,,,,
GE,CF700-2D2,"Falcon 20E/F, Sabreliner 75A/80A",4315,19194,944,4199,0.643,1.8067E-05,0.900,2.5291E-05,6.80,36090,11.000,216.658,0.80,4.0776E-08,1.5666E-05,1.90,1963,767,348,2,NA,NA,53.60,1.3614,37.00,0.9398,0.9444,,,,,
CFE,CFE738-1-1B, Falcon 2000 ,5725,25466,1464,6512,0.372,1.0452E-05,0.645,1.8125E-05,23.00,40000,12.192,216.650,0.80,3.8391E-08,9.0630E-06,5.30,1993,1325,601,2,35.50,0.9017,99.00,2.5146,48.00,1.2192,2.9357,,,,,
CFM ,CFM56-2A2,(see military turbofan specifications),24000,106757,6047,26898,0.360,1.0115E-05,0.660,1.8547E-05,25.40,35000,10.668,218.818,0.80,4.1025E-08,8.8144E-06,5.90,NA,4819,2186,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
CFM ,CFM56-2A3,(see military turbofan specifications),NA,NA,5760,25622,0.360,1.0115E-05,0.670,1.8828E-05,NA,35000,10.668,218.818,0.80,4.2210E-08,8.8144E-06,5.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
CFM ,CFM56-2B1 ,(see military turbofan specifications),22000,97861,4970,22108,0.360,1.0115E-05,0.650,1.8266E-05,23.70,35000,10.668,218.818,0.80,3.9840E-08,8.8144E-06,6.00,NA,4672,2119,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
CFM ,CFM56-2C1,"DC-8-71F/-72/-72F/-73F, DC-8-71/-73 (option)",22000,97861,4980,22152,0.350,9.8341E-06,0.671,1.8856E-05,24.70,35000,10.668,218.818,0.80,4.3360E-08,8.5695E-06,6.00,1979,4635,2102,2,68.30,1.7348,95.70,2.4308,72.00,1.8288,6.3851,,,,,
CFM ,CFM56-2C2,Trident,24000,106757,4980,22152,0.360,1.0115E-05,0.597,1.6776E-05,26.50,35000,10.668,218.818,0.80,3.3562E-08,8.8144E-06,6.00,1962,NA,NA,2,68.30,1.7348,95.70,2.4308,72.00,1.8288,6.3851,,,,,
CFM ,CFM56-2C3,DC-8-71/-71F/-72/-72F/-73/-73F (option),NA,NA,4980,22152,0.360,1.0115E-05,0.597,1.6776E-05,NA,35000,10.668,218.818,0.80,3.3562E-08,8.8144E-06,6.00,NA,4635,2102,2,68.30,1.7348,95.70,2.4308,72.00,1.8288,6.3851,,,,,
CFM ,CFM56-2C5,"DC-8-72, DC-8-71/-71F/-72F/-73/-73F (option)",NA,NA,4980,22152,0.360,1.0115E-05,0.597,1.6776E-05,NA,35000,10.668,218.818,0.80,3.3562E-08,8.8144E-06,6.00,NA,4635,2102,2,68.30,1.7348,95.70,2.4308,72.00,1.8288,6.3851,,,,,
CFM ,CFM56-2C6,DC-8-71/-71F/-72/-72F/-73/-73F (option),NA,NA,4980,22152,0.360,1.0115E-05,0.597,1.6776E-05,NA,35000,10.668,218.818,0.80,3.3562E-08,8.8144E-06,6.00,NA,4635,2102,2,68.30,1.7348,95.70,2.4308,72.00,1.8288,6.3851,,,,,
CFM ,CFM56-3B1,"737-300/-300(QC)/-500, 737-400 (option)",20000,88964,4650,20684,0.380,1.0677E-05,0.667,1.8743E-05,22.60,35000,10.668,218.818,0.80,3.9790E-08,9.3041E-06,6.00,1981,4276,1940,2,60.00,1.5240,93.10,2.3647,63.00,1.6002,4.7558,,,,,
CFM ,CFM56-3B2,737-300/-300(QC)/-300F/-400,22000,97861,5040,22419,0.390,1.0958E-05,0.667,1.8743E-05,24.30,35000,10.668,218.818,0.80,3.8758E-08,9.5489E-06,5.90,1981,4301,1951,2,60.00,1.5240,93.10,2.3647,63.00,1.6002,4.7558,,,,,
CFM ,CFM56-3C1,737-300/-300(QC)/-300F/-400/-500,23500,104533,5370,23887,0.330,9.2721E-06,0.667,1.8743E-05,25.20,35000,10.668,218.818,0.80,4.4951E-08,8.0799E-06,6.00,1981,4301,1951,2,60.00,1.5240,93.10,2.3647,63.00,1.6002,4.7558,,,,,
CFM ,CFM56-3C3,"737-300, 737-300(QC)/-300F/-400/-500 (option)",NA,NA,5370,23887,0.330,9.2721E-06,0.667,1.8743E-05,NA,35000,10.668,218.818,0.80,4.4951E-08,8.0799E-06,6.00,1984,4301,1951,2,60.00,1.5240,93.10,2.3647,63.00,1.6002,4.7558,,,,,
CFM ,CFM56-5A1,A320-211/-311,25000,111206,5000,22241,0.330,9.2721E-06,0.596,1.6748E-05,26.50,35000,10.668,218.818,0.80,3.6540E-08,8.0799E-06,6.00,1987,4995,2266,2,68.30,1.7348,95.40,2.4232,72.00,1.8288,6.3651,,,,,
CFM ,CFM56-5A3,A320-212,26500,117878,5000,22241,0.330,9.2721E-06,0.596,1.6748E-05,27.80,35000,10.668,218.818,0.80,3.6540E-08,8.0799E-06,6.00,1987,4995,2266,2,68.30,1.7348,95.40,2.4232,72.00,1.8288,6.3651,,,,,
CFM ,CFM56-5A4,A319-113,NA,NA,5000,22241,0.320,8.9911E-06,0.596,1.6748E-05,24.10,35000,10.668,218.818,0.80,3.7572E-08,7.8350E-06,6.20,NA,4975,2257,2,68.30,1.7348,95.40,2.4232,72.00,1.8288,6.3651,,,,,
CFM ,CFM56-5A5,A319-114,23500,104533,5000,22241,0.320,8.9911E-06,0.596,1.6748E-05,25.40,35000,10.668,218.818,0.80,3.7572E-08,7.8350E-06,6.20,1987,4975,2257,2,68.30,1.7348,95.40,2.4232,72.00,1.8288,6.3651,,,,,
CFM ,CFM56-5B1,A321-111,30000,133447,5840,25978,0.350,9.8341E-06,0.596,1.6748E-05,32.00,35000,10.668,218.818,0.80,3.4476E-08,8.5695E-06,5.50,1993,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B1/2,A321-111,30000,133447,5840,25978,0.350,9.8341E-06,0.575,1.6158E-05,32.00,35000,10.668,218.818,0.80,3.1988E-08,8.5695E-06,5.50,1994,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B1/2P,NA,NA,NA,5840,25978,0.350,9.8341E-06,0.575,1.6158E-05,32.00,35000,10.668,218.818,0.80,3.1988E-08,8.5695E-06,5.50,NA,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B1/P,A321-111,30000,133447,5840,25978,0.350,9.8341E-06,0.575,1.6158E-05,32.00,35000,10.668,218.818,0.80,3.1988E-08,8.5695E-06,5.50,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B2,A321-112,31000,137895,5840,25978,0.350,9.8341E-06,0.545,1.5315E-05,32.90,35000,10.668,218.818,0.80,2.8435E-08,8.5695E-06,5.50,1993,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B2/2,NA,NA,NA,5840,25978,0.350,9.8341E-06,0.572,1.6074E-05,32.90,35000,10.668,218.818,0.80,3.1633E-08,8.5695E-06,5.50,NA,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B2/2P,NA,NA,NA,5840,25978,0.350,9.8341E-06,0.572,1.6074E-05,32.90,35000,10.668,218.818,0.80,3.1633E-08,8.5695E-06,5.40,NA,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B2/P,A321-112,31000,137895,5840,25978,0.350,9.8341E-06,0.572,1.6074E-05,32.90,35000,10.668,218.818,0.80,3.1633E-08,8.5695E-06,5.50,NA,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B3,A321-211,32000,142343,5840,25978,0.360,1.0115E-05,0.570,1.6018E-05,33.70,35000,10.668,218.818,0.80,3.0364E-08,8.8144E-06,5.40,NA,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B3/2P ,A321-211,32000,142343,5840,25978,0.360,1.0115E-05,0.570,1.6018E-05,33.70,35000,10.668,218.818,0.80,3.0364E-08,8.8144E-06,5.40,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B3/P ,A321-211,32000,142343,5840,25978,0.360,1.0115E-05,0.570,1.6018E-05,33.70,35000,10.668,218.818,0.80,3.0364E-08,8.8144E-06,5.40,2003,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B4,A320-214,27000,120102,5000,22241,0.340,9.5531E-06,0.545,1.5315E-05,29.10,35000,10.668,218.818,0.80,2.9467E-08,8.3247E-06,5.70,1987,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
