fuel_burn_lb,flight_time_s,cruise_alt_ft,cruise_mach
3426.1115213709127,3019.4966769234234,30000.0,0.8
3298.635138057958,3033.4009272822836,32000.0,0.8
3182.186955577534,3043.7889736551774,34000.0,0.8
3087.556409193494,3052.1201624195037,36000.0,0.8
3030.9978010929626,3053.730918027985,38000.0,0.8
2988.1670270761388,3053.780741342057,40000.0,0.8
2983.2817217088887,3072.1907507596293,40000.0,0.79
3025.0618921115674,3072.2454593004572,38000.0,0.79
3079.568008647868,3071.476142030181,36000.0,0.79
3171.9439467517077,3063.7541897326228,34000.0,0.79
3285.8050492868206,3053.7915767426803,32000.0,0.79
3410.195102206286,3040.9207549397506,30000.0,0.79
3394.7840748869785,3062.896005186679,30000.0,0.78
3273.4575850290275,3074.706876321876,32000.0,0.78
3162.2012812914763,3084.2312460277963,34000.0,0.78
3071.7170806082286,3091.9093107633353,36000.0,0.78
3019.346539527425,3091.5243376286835,38000.0,0.78
2979.064544956447,3091.0729333237527,40000.0,0.78
2975.391696863371,3110.4387784464243,40000.0,0.77
3014.141122480971,3111.335207848415,38000.0,0.77
3064.368026954762,3112.8759972717266,36000.0,0.77
3152.8554665937118,3105.2389193533127,34000.0,0.77
3261.4792658400256,3096.200886608607,32000.0,0.77
3379.674088289481,3085.4437240499783,30000.0,0.77
3364.805451752167,3108.586426849913,30000.0,0.76
3249.577903177982,3118.896128471561,32000.0,0.76
3143.8172376579023,3126.8363730649626,34000.0,0.76
3057.4430431541987,3134.3936786066824,36000.0,0.76
3008.8959642654227,3132.687541311229,38000.0,0.76
2972.2534492880222,3130.3006173931353,40000.0,0.76
2969.6068959295953,3150.671883848118,40000.0,0.75
3004.1687399792136,3154.6048750899963,38000.0,0.75
3050.8941920217912,3156.6433167717637,36000.0,0.75
3134.727982249009,3150.0434714727385,34000.0,0.75
3238.0074458795716,3142.1957259138017,32000.0,0.75
3350.2248313348246,3132.3479399029065,30000.0,0.75
3336.377076655961,3156.7533643759443,30000.0,0.74
3227.100151993902,3166.130075579044,32000.0,0.74
3126.384372593471,3173.886380110204,34000.0,0.74
3044.9648586515104,3179.6105481269465,36000.0,0.74
3000.1639120697946,3177.1107740498283,38000.0,0.74
2967.690208567772,3171.588650691635,40000.0,0.74
