Configuration,Exit Status,Iterations,Runtime,Model Evals,Number of Engines,Thrust per Engine (lbf),Engine Dry Mass (lb),Total Engine Mass (lb),Max Total Thrust (lbf),Avg Cruise Thrust (lbf),MTOW (lbm),Landing Weight (lbm),Fuel Burn (lbm),Distance (nmi),Total Time (min),Cruise Mach,Avg Cruise Mach,Cruise Altitude (ft),Max L/D,Cruise L/D,Fuel Efficiency (lbm/nmi),Specific Range (nmi/lbm),Cruise Fuel Flow (lbm/s)
Combined (2 engines),SUCCESS,34,00 hours 00 minutes 25 seconds 9.1 milliseconds,35,2,22872.598564781267,4411.550289630841,8823.100579261682,45745.19712956253,6350.989043156027,114419.30842899636,111613.68358560032,2805.62,350.0,50.89,0.8000000000000002,0.8000000000000002,37499.99999999999,23.94052698139279,19.83871942132452,8.016057142857143,0.12474960971193534,1.3287628767005863
Combined (2 engines),SUCCESS,65,00 hours 00 minutes 45 seconds 379.4 milliseconds,66,2,16215.79456365092,3173.457006613422,6346.914013226844,32431.58912730184,3951.550340045666,108897.88170943994,106327.00980670992,2570.87,350.0,53.76,0.7400000000000001,0.7399999999999999,39999.35174494385,24.272627365774834,22.208691993655197,7.345342857142857,0.1361406838930012,0.7914123437394489
Combined (3 engines),SUCCESS,53,00 hours 00 minutes 40 seconds 643.3 milliseconds,54,3,10788.117016003149,2147.9631187573973,6443.889356272191,32364.35104800945,3945.1006316469684,107757.19536003692,105225.0305237188,2532.16,350.0,53.75,0.7400000000000001,0.7400000000000001,39999.53196820142,24.367768682421165,22.351877820031945,7.234742857142857,0.13822191330721598,0.7901279519039617
Combined (4 engines),SUCCESS,60,00 hours 00 minutes 44 seconds 434.3 milliseconds,61,4,8112.685406289142,1634.8644254606716,6539.457701842686,32450.741625156566,3955.346715789055,108054.79976986184,105522.58260294644,2532.22,350.0,53.76,0.7400000000000001,0.7400000000000001,39999.50945512054,24.324295953763603,22.354727433795983,7.234914285714285,0.13821863819099448,0.7921788535059192
Combined (5 engines),SUCCESS,50,00 hours 00 minutes 40 seconds 99.5 milliseconds,51,5,6498.4160011800095,1321.9058499000741,6609.5292495003705,32492.080005900047,3960.632062562789,108067.38604028028,105539.83462893077,2527.55,350.0,53.76,0.7400000000000001,0.7399999999999999,39999.52297963198,24.33882266605445,22.392806919141275,7.221571428571429,0.13847401633993392,0.7932384327676183
Combined (6 engines),SUCCESS,49,00 hours 00 minutes 38 seconds 521.3 milliseconds,50,6,5422.168506478194,1111.4559737300892,6668.735842380535,32533.011038869165,3965.747741394274,108165.1814471972,105639.201146887,2525.98,350.0,53.76,0.7400000000000001,0.7399999999999999,39999.5281567424,24.348478838651314,22.42210412003141,7.217085714285714,0.1385600836111133,0.7942635292260651
