Configuration,Exit Status,Iterations,Runtime,Model Evals,Number of Engines,Thrust per Engine (lbf),Engine Dry Mass (lb),Total Engine Mass (lb),Max Total Thrust (lbf),Avg Cruise Thrust (lbf),MTOW (lbm),Landing Weight (lbm),Fuel Burn (lbm),Distance (nmi),Total Time (min),Cruise Mach,Avg Cruise Mach,Cruise Altitude (ft),Max L/D,Cruise L/D,Fuel Efficiency (lbm/nmi),Specific Range (nmi/lbm),Cruise Fuel Flow (lbm/s)
Baseline,SUCCESS,34,00 hours 00 minutes 25 seconds 9.1 milliseconds,35,2,22872.598564781267,6130.0,12260.0,45745.19712956253,6350.989043156027,114419.30842899636,111613.68358560032,2805.62,350.0,50.89,0.8000000000000002,0.8000000000000002,37499.99999999999,23.94052698139279,19.83871942132452,8.016057142857143,0.12474960971193534,1.3287628767005863
Mission only,SUCCESS,56,00 hours 00 minutes 36 seconds 227.7 milliseconds,57,2,22872.598564781267,6130.0,12260.0,45745.19712956253,5599.606677573523,114269.95818685078,111567.88606096512,2702.07,350.0,53.43,0.7400000000000089,0.7399999999999974,39999.86998878454,24.866403170000968,22.096776832893365,7.7202,0.12953032304862566,1.121590455611455
Propulsion only,SUCCESS,113,00 hours 01 minutes 05 seconds 780.9 milliseconds,114,2,16079.565848830915,3147.9200042105304,6295.840008421061,32159.13169766183,4444.856536913675,108163.91964646724,105518.52698934264,2645.39,350.0,51.38,0.8,0.8000000000000002,37500.00000003274,23.507580035014666,19.392943386385863,7.558257142857142,0.1323056335738776,0.9298710428179535
Structure only,SUCCESS,35,00 hours 00 minutes 26 seconds 264.4 milliseconds,36,2,22872.598564781267,6130.0,12260.0,45745.19712956253,6350.697950608045,115695.2549304613,112666.1558991017,3029.1,350.0,51.38,0.8,0.8000000000000002,37500.0,23.9311337869834,19.79931205561829,8.654571428571428,0.1155458717110693,1.3287006867187812
Mission + Structure + Propulsion,SUCCESS,65,00 hours 00 minutes 45 seconds 379.4 milliseconds,66,2,16215.79456365092,3173.457006613422,6346.914013226844,32431.58912730184,3951.550340045666,108897.88170943994,106327.00980670992,2570.87,350.0,53.76,0.7400000000000001,0.7399999999999999,39999.35174494385,24.272627365774834,22.208691993655197,7.345342857142857,0.1361406838930012,0.7914123437394489
