time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
0.0,0.036160834794254096,0.37798715068391175,0.06600374847363591,,,,,,0.0,,,0.011257051316934108,,9.977856031150891e-05,141106.55013480104,141106.53887774973,0.0,0.956,45745.19712956253,0.066
8.211126442335289,0.03615848707621801,0.3782379069622077,45.59773555271511,,,,,,321.1315946386614,,,5376.034049436981,,0.06893057609799404,141081.22721862726,135705.1931691903,0.0,0.956,42349.0158411254,45.5951459738877
19.54080501814781,0.03531802427691805,0.3792495960292551,101.70221325677369,,,,,,1741.828529712232,,,26816.144874876598,,0.15374430473912043,141044.7530439523,114228.60816907571,0.0,0.9559999999999998,38942.5097480715,101.69643740200904
23.126609550402584,0.035047027072102874,0.37969280506528214,117.90717769836503,,,,,,2406.523198305553,,,36084.713665131116,,0.17824151981057998,141032.84036963043,104948.12670449931,0.0,0.956,38129.74671219788,117.90048153402122
23.126609550402584,0.034195517029114254,0.24266267446950962,117.90717769836503,,,,0.0,,2406.523198305553,,,23061.8358015545,,0.17824151981057998,141032.84036963043,118969.12497675343,-1.5,0.956,38129.74671219788,117.90048153402122
24.23664159552906,0.03743889923091056,0.5761847175722489,122.78588135764507,,,,0.06451446758704545,,2631.992852339086,,,59383.93975749797,,0.1856167074107796,141029.11681283743,80193.22702203624,2.196406710271252,0.956,37885.054413641075,122.77890812279442
25.76825925705883,0.04807877970896085,1.012533297602148,129.4074450546437,,,,0.15353126526809874,,2957.9717143311636,,,115914.62852141281,,0.19562659484863282,141023.95215005244,20339.822489262522,7.296693523165539,0.9559999999999998,37552.9486424744,129.40009576907588
26.25301101022152,0.052741959949758374,1.1448459672838154,131.4449245272049,,,,0.1817047773792868,,3064.690100195495,,,135221.300800222,,0.1987066739825871,141022.31113451291,0.0,8.910916861197325,0.956,37450.75847676206,131.4374595294501
26.25301101022152,0.06706469059788893,1.1052917004774527,131.34390802038556,,52.54087707607318,,0.18170477737928564,,3064.690100195495,0.0,,130348.84440536932,0.9654041122496493,0.19874257333155257,141022.31113451291,4878.792046304646,8.910916861197258,0.956,37409.46504895674,131.4374595294501
27.88202363036325,0.06573256721073611,1.088476661435231,137.65619298539323,,52.305760915394394,,0.17784362961593086,,3434.8548310472397,0.0009898895564408145,,141000.62530305068,1.0396620926061564,0.20829310002296797,141016.7809266329,0.0,8.746405884048787,0.956,37125.99602473232,137.75376649903447
30.12972855998055,0.060266938977646484,1.030544126770993,145.6823034759122,,57.81364775346325,,0.1656336664960134,,3972.89554803659,0.022996677469194125,,149517.00878094084,1.0968695096682046,0.22045967536387137,141009.0983495152,0.0,9.30772259730741,0.9559999999999997,36766.87710747476,145.79731837798903
30.84111948513882,0.05544843039502237,1.0034181952810575,147.94127135083772,,62.854114294289474,,0.160106601452744,,4149.333319479324,0.03224058656531565,,150131.2404797524,1.0999999175552175,0.22389854817467655,141006.65515365303,0.0,9.520682074644135,0.9559999999999997,36662.80498350345,148.06899267651235
30.84111948513882,0.05544843039502344,1.0034181952810743,147.94127135083772,,62.854114294289474,,0.16010660145274752,,4149.333319479324,0.03224058656531565,,150131.2404797549,1.0999999175552362,0.22389854817467655,141006.65515365303,0.0,9.520682074644336,0.956,36662.804983503454,148.06899267651235
32.47013210528055,0.043510709028626214,0.9415290022873533,152.8999533119543,,80.52056202401454,,0.14755846723460014,,4563.051206289767,0.05285959640555139,,150473.08185491906,1.0999956446507124,0.2314770689510783,141001.04279652837,0.0,9.983109184765024,0.956,36428.72236925789,153.07153276911046
34.71783703489785,0.03867124650454666,0.873304262082622,158.88059682300417,,120.02349413211556,,0.13360569161251018,,5154.255116364226,0.08023952384844883,,150701.54779002536,1.099871171629158,0.24070308949560454,140993.26285372063,0.0,10.75242831497869,0.9559999999999998,36130.928234506246,159.15090229049275
35.42922796005612,0.0377681223636048,0.8559914657957735,160.49423148348228,,136.24001276647945,,0.13000166304845373,,5345.705643202542,0.08867785109846299,,150729.6524741305,1.0998917637035577,0.24321904994833338,140990.79323282815,0.0,11.029413226589707,0.956,36045.8646958331,160.80546225015993
35.42922796005612,0.03776812236360496,0.8559914657957763,160.49423148348228,,136.24001276647945,,0.13000166304845437,,5345.705643202542,0.08867785109846299,,150729.65247413103,1.0998917637035617,0.24321904994833338,140990.79323282815,0.0,11.029413226589744,0.956,36045.8646958331,160.80546225015993
37.05824058019785,0.03601158980184031,0.8221562367734633,163.75982656962077,,180.08962183422204,,0.12285885005016198,,5790.452043425986,0.10770871137010227,,150722.99073450777,1.0999999018472857,0.2483647625543575,140985.12790618744,0.0,11.710548162004526,0.956,35864.3764069788,164.1827980567633
39.305945509815146,0.034164436223248176,0.7864775727868452,167.23517011361108,,255.8795431075711,,0.11518041504849766,,6416.04642196598,0.1332161743610768,,150366.8089566863,1.098793204321142,0.25398368464818705,140977.29995417976,0.0,12.732076218612619,0.9559999999999998,35615.43945526348,167.85341258749207
40.017336434973416,0.03371307571334924,0.7776449097938717,168.09175620725188,,283.5234604900232,,0.11327618549376932,,6616.252090947342,0.1410797403967561,,150205.062708616,1.098317693111701,0.2554123741820378,140974.82324019345,0.0,13.073521047669454,0.956,35543.049740936745,168.7815393032115
40.017336434973416,0.03371307571334899,0.7776449097938669,168.09175620725188,,283.5234604900232,,0.1132761854937683,,6616.252090947342,0.1410797403967561,,150205.0627086151,1.0983176931116942,0.2554123741820378,140974.82324019345,0.0,13.073521047669395,0.956,35543.049740936745,168.7815393032115
41.64634905511515,0.03299667861282481,0.7634758312662775,169.59727868120177,,353.61266925139023,,0.11021724833721995,,7077.432135208547,0.1596981584857317,,150121.69532852626,1.099999651300789,0.2580272492053552,140969.154151018,0.0,13.965013636511753,0.956,35396.90652201828,170.46833360007963
43.89405398473245,0.031281551961930575,0.7008310204042552,170.85019089178195,,463.12606429325626,,0.10931958524731926,,7718.050881815724,0.17740020049394734,,139847.48523368104,1.0290025406265744,0.26044971441914383,140961.34222547006,0.0,14.927833625869816,0.956,35230.25964020226,172.0038140745489
44.60544490989072,0.027529574520168965,0.5527022094116345,171.1176978267405,,500.0000000000001,,0.1098382647605091,,7921.438572201048,0.17813719177324483,,110634.72637722114,0.8186841253232698,0.2610319315144682,140958.87301079347,27384.243100980024,14.99977826273719,0.956,35182.81723044442,172.366394557037
44.60544490989072,0.030949038665424117,0.7041937292238858,171.1176978267405,,,,0.14892889382333088,,7921.438572201048,,,,,0.2610319315144682,140958.87301079347,,,0.956,35182.81723044442,172.366394557037
52.3150047956712,0.021532080643203923,0.5129541203917003,200.47503243119237,,,,0.10735537866526097,,10358.312487030276,,,,,0.3058151529652133,140931.96766637426,,,0.956,33578.596360251504,201.93795836277184
62.95262389462016,0.016060777678325013,0.3620929352721214,238.57859833136965,,,,0.07453915606797602,,14332.720481341594,,,,,0.3639403354029927,140894.3003967229,,,0.9559999999999998,31839.686159342866,240.31957731506748
66.31939396864898,0.01510430913542133,0.3297355810801703,250.0,,,,0.06749531567642233,,15731.314389994724,,,,,0.3813631419041871,140882.23695358285,,,0.956,31374.711386898492,251.82432434832202
